card_id,card_country
532075.0,Thailand
3618236.0,Thailand
3676168.0,Thailand
4365991.0,Thailand
4488194.0,Thailand
4782604.0,Thailand
4860103.0,Thailand
4891748.0,Thailand
4953176.0,Thailand
4985308.0,Thailand
4994495.0,Thailand
5023659.0,Thailand
5087812.0,Thailand
5122760.0,Thailand
5175519.0,Thailand
5196259.0,Thailand
5308639.0,Thailand
5311317.0,Thailand
5329698.0,Thailand
5436044.0,Thailand
5437720.0,Thailand
5477129.0,Thailand
5528723.0,Thailand
5564550.0,Thailand
5587914.0,Thailand
5692701.0,Thailand
5823488.0,Thailand
5838105.0,Thailand
5860078.0,Thailand
5905541.0,Thailand
5955994.0,Thailand
6026973.0,Thailand
6053838.0,Thailand
6106321.0,Thailand
6143310.0,Thailand
6170146.0,Thailand
6223659.0,Thailand
6245712.0,United States of America
6300801.0,Thailand
6347295.0,Thailand
6429059.0,Thailand
6461307.0,Thailand
6609713.0,Thailand
6777368.0,Thailand
6796095.0,Thailand
6942705.0,Thailand
6997726.0,Thailand
7028092.0,Thailand
7118367.0,Thailand
7169474.0,Thailand
7189527.0,Thailand
7251507.0,Thailand
7363519.0,Thailand
7390811.0,Thailand
7399251.0,Thailand
7404922.0,Thailand
7517338.0,Thailand
7529834.0,Thailand
7561744.0,United States of America
7587386.0,Thailand
7688361.0,Thailand
7698197.0,Thailand
7736157.0,Thailand
7768418.0,Thailand
7910704.0,Thailand
8055347.0,Thailand
8080127.0,Thailand
8129026.0,Thailand
8190459.0,Thailand
8254141.0,Thailand
8341966.0,United States of America
8394009.0,Thailand
8473375.0,Thailand
8511569.0,Thailand
8512593.0,Thailand
8514845.0,Thailand
8545470.0,Thailand
8758314.0,Thailand
8803120.0,Thailand
8806527.0,Thailand
8813118.0,Thailand
8853498.0,Thailand
8873710.0,Thailand
8912179.0,Thailand
8993303.0,Thailand
9032543.0,Thailand
9082499.0,Thailand
9175775.0,Thailand
9183832.0,Thailand
9214337.0,Thailand
9226481.0,Thailand
9244708.0,Thailand
9307560.0,Thailand
9376773.0,Thailand
9460444.0,Thailand
9489126.0,Thailand
9513572.0,Thailand
9519344.0,Thailand
9607934.0,Thailand
9632346.0,Thailand
9634955.0,Thailand
9706794.0,Thailand
9757794.0,Thailand
9842578.0,Thailand
9914524.0,Thailand
9951618.0,Thailand
10029108.0,Thailand
10221008.0,Thailand
10291392.0,Thailand
10297976.0,Thailand
10416589.0,Thailand
10506597.0,Thailand
10551979.0,Thailand
10559585.0,Thailand
10603804.0,Thailand
10627372.0,Thailand
10668493.0,United States of America
10708357.0,Thailand
10714912.0,Thailand
10716707.0,Thailand
10729272.0,Thailand
10768430.0,Thailand
10779549.0,Thailand
10802739.0,Thailand
10880024.0,Thailand
10989839.0,Thailand
10998847.0,Guatemala
11034639.0,Thailand
11063727.0,Thailand
11105594.0,Thailand
11134425.0,Thailand
11153747.0,Thailand
11189593.0,Thailand
11222022.0,Thailand
11430016.0,Thailand
11446092.0,Thailand
11504433.0,Thailand
11583058.0,Thailand
11639468.0,Thailand
11656915.0,Thailand
11679040.0,United States of America
11750135.0,Thailand
11794027.0,Thailand
11921003.0,Thailand
11981710.0,Thailand
12058635.0,Thailand
12216487.0,United States of America
12243679.0,Thailand
12347367.0,Thailand
12423357.0,Thailand
12428708.0,Thailand
12476312.0,Thailand
12487260.0,Thailand
12635363.0,United States of America
12646648.0,Thailand
12746553.0,Thailand
12868782.0,Thailand
12872952.0,Thailand
12926543.0,Thailand
12942186.0,Thailand
12966898.0,Thailand
13023629.0,Thailand
13198504.0,Thailand
13206831.0,Thailand
13225637.0,Thailand
13261430.0,Thailand
13279588.0,Thailand
13363800.0,Thailand
13402743.0,Thailand
13452219.0,Thailand
13459854.0,Thailand
13663982.0,Thailand
