created_date,id,merchant_id,payment_method_id,charged_amount,captured,failure_code,card_id,description,merchant_name,Category,card_country
2020-01-01,68488939,16129,P001,,False,invalid_security_code,44685105.0,Credit Card,Better Land,,Thailand
2020-01-01,68474516,71206,P001,12.0,True,,43249411.0,Credit Card,FoodDepot General Store,,Thailand
2020-01-01,68546102,61534,P001,37.0,True,,28514673.0,Credit Card,Main Street,,Thailand
2020-01-01,68520484,61534,P001,177.0,True,,38992215.0,Credit Card,Main Street,,Thailand
2020-01-01,68507667,3045,P001,1972.57,True,,44692929.0,Credit Card,FlyingCable,,Thailand
2020-01-01,68540205,16129,P001,250.0,True,,44698956.0,Credit Card,Better Land,,Thailand
2020-01-01,68494343,61534,P001,158.0,True,,41172071.0,Credit Card,Main Street,,Thailand
2020-01-01,68551630,61534,P001,210.75,True,,38609342.0,Credit Card,Main Street,,Thailand
2020-01-01,68545763,4646,P001,1000.0,True,,38801651.0,Credit Card,Pipe Palace,,Thailand
2020-01-01,68490844,3045,P001,1288.28,True,,44685897.0,Credit Card,FlyingCable,,Thailand
2020-01-01,68514955,18250,P001,630.0,True,,44695772.0,Credit Card,OldieArcade,Commercial,Thailand
2020-01-01,68457338,37769,P002,160.0,True,,,TrueMoney Wallet,Women Store,,
2020-01-01,68552744,37768,P002,854.93,True,,,TrueMoney Wallet,Devlex,,
2020-01-01,68516781,37768,P002,,False,insufficient_fund,,TrueMoney Wallet,Devlex,,
2020-01-01,68513483,37769,P002,,False,,,TrueMoney Wallet,Women Store,,
2020-01-01,68503655,16129,P004,,False,timeout,,Alipay (Online),Better Land,,
2020-01-01,68452569,37768,P002,,False,,,TrueMoney Wallet,Devlex,,
2020-01-01,68447741,37769,P002,,False,,,TrueMoney Wallet,Women Store,,
2020-01-01,68474398,37768,P002,,False,,,TrueMoney Wallet,Devlex,,
2020-01-01,68543501,37768,P002,,False,insufficient_fund,,TrueMoney Wallet,Devlex,,
2020-01-01,68465119,37768,P002,587.43,True,,,TrueMoney Wallet,Devlex,,
2020-01-02,68680345,61534,P001,31.0,True,,44016704.0,Credit Card,Main Street,,Thailand
2020-01-02,68618328,61534,P001,40.0,True,,43685390.0,Credit Card,Main Street,,Thailand
2020-01-02,68607248,13846,P001,,False,invalid_security_code,44732688.0,Credit Card,ZeperonMeet,,Thailand
2020-01-02,68671344,3045,P001,535.41,True,,44762905.0,Credit Card,FlyingCable,,Thailand
2020-01-02,68672847,17420,P001,754.53,True,,22973781.0,Credit Card,Earthbound,,Thailand
2020-01-02,68680827,16129,P001,200.0,True,,44766829.0,Credit Card,Better Land,,Thailand
2020-01-02,68655686,43651,P001,,False,invalid_security_code,44755680.0,Credit Card,Neighborly,,Thailand
2020-01-02,68568756,61534,P001,116.0,True,,37569231.0,Credit Card,Main Street,,Thailand
2020-01-02,68616432,13846,P001,480.43,True,,44736557.0,Credit Card,ZeperonMeet,,Thailand
2020-01-02,68604294,17693,P001,,False,,44731371.0,Credit Card,Web Mall,,Thailand
2020-01-02,68601530,13846,P001,673.03,True,,44730161.0,Credit Card,ZeperonMeet,Commercial,Thailand
2020-01-02,68647648,37768,P002,,False,invalid_account,,TrueMoney Wallet,Devlex,,
2020-01-02,68663253,37769,P002,,False,,,TrueMoney Wallet,Women Store,,
2020-01-02,68628174,37768,P002,279.52,True,,,TrueMoney Wallet,Devlex,,
2020-01-02,68686990,19144,P005,21368.0,True,,,Internet Banking,ClaraBankz,,
2020-01-02,68608532,37769,P002,200.0,True,,,TrueMoney Wallet,Women Store,,
2020-01-02,68648858,37768,P002,1156.67,True,,,TrueMoney Wallet,Devlex,,
2020-01-02,68697302,65025,P002,69.0,True,,,TrueMoney Wallet,Surprise,,
