created_date,id,merchant_id,payment_method_id,charged_amount,captured,failure_code,card_id
1/1/2020,68488939,16129,P001,,FALSE,invalid_security_code,44685105
1/1/2020,68474516,71206,P001,12,TRUE,,43249411
1/1/2020,68546102,61534,P001,37,TRUE,,28514673
1/1/2020,68520484,61534,P001,177,TRUE,,38992215
1/1/2020,68507667,3045,P001,1972.57,TRUE,,44692929
1/1/2020,68540205,16129,P001,250,TRUE,,44698956
1/1/2020,68494343,61534,P001,158,TRUE,,41172071
1/1/2020,68551630,61534,P001,210.75,TRUE,,38609342
1/1/2020,68545763,4646,P001,1000,TRUE,,38801651
1/1/2020,68490844,3045,P001,1288.28,TRUE,,44685897
1/1/2020,68514955,18250,P001,630,TRUE,,44695772
1/1/2020,68457338,37769,P002,160,TRUE,,
1/1/2020,68552744,37768,P002,854.93,TRUE,,
1/1/2020,68516781,37768,P002,,FALSE,insufficient_fund,
1/1/2020,68513483,37769,P002,,FALSE,,
1/1/2020,68503655,16129,P004,,FALSE,timeout,
1/1/2020,68452569,37768,P002,,FALSE,,
1/1/2020,68447741,37769,P002,,FALSE,,
1/1/2020,68474398,37768,P002,,FALSE,,
1/1/2020,68543501,37768,P002,,FALSE,insufficient_fund,
1/1/2020,68465119,37768,P002,587.43,TRUE,,
1/2/2020,68680345,61534,P001,31,TRUE,,44016704
1/2/2020,68618328,61534,P001,40,TRUE,,43685390
1/2/2020,68607248,13846,P001,,FALSE,invalid_security_code,44732688
1/2/2020,68671344,3045,P001,535.41,TRUE,,44762905
1/2/2020,68672847,17420,P001,754.53,TRUE,,22973781
1/2/2020,68680827,16129,P001,200,TRUE,,44766829
1/2/2020,68655686,43651,P001,,FALSE,invalid_security_code,44755680
1/2/2020,68568756,61534,P001,116,TRUE,,37569231
1/2/2020,68616432,13846,P001,480.43,TRUE,,44736557
1/2/2020,68604294,17693,P001,,FALSE,,44731371
1/2/2020,68601530,13846,P001,673.03,TRUE,,44730161
1/2/2020,68647648,37768,P002,,FALSE,invalid_account,
1/2/2020,68663253,37769,P002,,FALSE,,
1/2/2020,68628174,37768,P002,279.52,TRUE,,
1/2/2020,68686990,19144,P005,21368,TRUE,,
1/2/2020,68608532,37769,P002,200,TRUE,,
1/2/2020,68648858,37768,P002,1156.67,TRUE,,
1/2/2020,68697302,65025,P002,69,TRUE,,
1/2/2020,68603449,37768,P002,576.73,TRUE,,
1/2/2020,68646727,37768,P002,,FALSE,insufficient_fund,
1/2/2020,68589968,37768,P002,1588.58,TRUE,,
1/3/2020,68721355,61534,P001,,FALSE,,39125105
1/3/2020,68768463,13846,P001,491.13,TRUE,,24857983
1/3/2020,68811592,16129,P001,,FALSE,,24282989
1/3/2020,68789820,11382,P001,245,TRUE,,40135857
1/3/2020,68767193,13846,P001,426.93,TRUE,,37130535
1/3/2020,68711272,13846,P001,,FALSE,insufficient_fund,44780447
1/3/2020,68726052,13846,P001,754.43,TRUE,,15703639
1/3/2020,68739703,37768,P001,1388.86,TRUE,,26715425
1/3/2020,68779816,61534,P001,28,TRUE,,43816304
1/3/2020,68735932,17419,P001,1037.9,TRUE,,20305949
1/3/2020,68730567,15741,P001,747.93,TRUE,,44787945
1/3/2020,68707653,16129,P004,,FALSE,timeout,
1/3/2020,68755500,37768,P002,549.34,TRUE,,
1/3/2020,68738088,37768,P002,,FALSE,insufficient_fund,
1/3/2020,68824819,37768,P002,853.86,TRUE,,
1/3/2020,68817624,37768,P002,,FALSE,,
1/3/2020,68781985,19144,P005,,FALSE,timeout,
1/3/2020,68701925,37769,P002,,FALSE,insufficient_fund,
1/3/2020,68702810,37768,P002,,FALSE,,
1/3/2020,68814485,37768,P002,107,TRUE,,
1/3/2020,68702248,37769,P002,,FALSE,insufficient_fund,
1/4/2020,68839842,13846,P001,776.86,TRUE,,18766883
1/4/2020,68833789,15741,P001,,FALSE,invalid_account_number,22906303
1/4/2020,68918256,61534,P001,145,TRUE,,43794921
1/4/2020,68901408,11382,P001,509,TRUE,,44862840
1/4/2020,68931522,61534,P001,161,TRUE,,37905767
1/4/2020,68931776,13846,P001,319.06,TRUE,,8190459
1/4/2020,68898458,37768,P001,1232.64,TRUE,,30053933
1/4/2020,68929859,61534,P001,22,TRUE,,42290332
1/4/2020,68884045,13846,P001,214,TRUE,,37232507
1/4/2020,68923598,37768,P001,747.39,TRUE,,23114216
1/4/2020,68848364,60611,P001,250,TRUE,,43165218
1/4/2020,68864799,43626,P003,990,TRUE,,
1/4/2020,68832858,37768,P002,532.86,TRUE,,
1/4/2020,68851966,37768,P002,640.84,TRUE,,
1/4/2020,68850093,37768,P002,,FALSE,insufficient_fund,
1/4/2020,68855770,37768,P002,,FALSE,,
1/4/2020,68897007,37768,P002,1336.43,TRUE,,
1/4/2020,68910321,43626,P003,4612.5,TRUE,,
1/4/2020,68876448,37768,P002,559.61,TRUE,,
1/4/2020,68919257,43626,P003,1260,TRUE,,
1/4/2020,68926234,37768,P002,854.93,TRUE,,
1/5/2020,69010663,3045,P001,3035.19,TRUE,,44910529
1/5/2020,69054763,16129,P001,200,TRUE,,44929465
1/5/2020,68952491,8616,P001,,FALSE,payment_rejected,44884608
1/5/2020,68950357,25272,P001,,FALSE,payment_rejected,26577176
1/5/2020,68996372,37768,P001,,FALSE,,44903824
1/5/2020,68988055,17419,P001,378.78,TRUE,,27724647
1/5/2020,68993882,3045,P001,1538.17,TRUE,,44902682
1/5/2020,68971844,17693,P001,,FALSE,,44892688
1/5/2020,68967488,37768,P001,424.79,TRUE,,44890839
1/5/2020,68971483,61534,P001,70,TRUE,,40946152
1/5/2020,69008749,8616,P001,1665.03,TRUE,,44909642
1/5/2020,69037728,37768,P002,587.43,TRUE,,
1/5/2020,68978583,37768,P002,900.41,TRUE,,
1/5/2020,69012153,37768,P002,,FALSE,insufficient_fund,
1/5/2020,69016994,43626,P003,1102.5,TRUE,,
1/5/2020,69024761,43626,P003,825,TRUE,,
1/5/2020,68953119,37768,P002,,FALSE,insufficient_fund,
1/5/2020,68981348,43624,P003,2015,TRUE,,
1/5/2020,69031254,37768,P002,170.91,TRUE,,
1/5/2020,69008297,37768,P002,,FALSE,invalid_account,
1/5/2020,69024307,37768,P002,452.91,TRUE,,
1/6/2020,69109717,25272,P001,1905.82,TRUE,,26392798
1/6/2020,69069360,43682,P001,319.93,TRUE,,42394240
1/6/2020,69101874,17693,P001,,FALSE,invalid_security_code,44957184
1/6/2020,69075517,61534,P001,30,TRUE,,40675362
1/6/2020,69086335,15748,P001,,FALSE,invalid_security_code,44949951
1/6/2020,69122720,17420,P001,912.68,TRUE,,36133388
1/6/2020,69105851,13846,P001,1047.53,TRUE,,33553219
1/6/2020,69106527,13846,P001,426.93,TRUE,,29131426
1/6/2020,69178967,61534,P001,24,TRUE,,44266807
1/6/2020,69153630,37768,P001,,FALSE,,44981199
1/6/2020,69067172,13846,P001,1269.64,TRUE,,44944761
1/6/2020,69180266,37768,P002,799.29,TRUE,,
1/6/2020,69121028,43626,P003,3980,TRUE,,
1/6/2020,69157163,37769,P002,50,TRUE,,
1/6/2020,69097706,37768,P002,1175.93,TRUE,,
1/6/2020,69161571,37769,P002,,FALSE,invalid_account,
1/6/2020,69148749,43624,P003,355,TRUE,,
1/6/2020,69093269,37768,P002,1013.29,TRUE,,
1/6/2020,69164501,37768,P002,1187.7,TRUE,,
1/6/2020,69078303,37768,P002,1134.73,TRUE,,
1/6/2020,69096529,16129,P004,,FALSE,timeout,
1/7/2020,69233745,22868,P001,205,TRUE,,45009454
1/7/2020,69267636,13846,P001,898.32,TRUE,,42026920
1/7/2020,69250961,3045,P001,,FALSE,failed_processing,45017552
1/7/2020,69281561,13846,P001,,FALSE,payment_rejected,24167805
1/7/2020,69280420,61534,P001,26,TRUE,,37454978
1/7/2020,69269791,13846,P001,694.43,TRUE,,45027141
1/7/2020,69254109,3045,P001,726.42,TRUE,,45019068
1/7/2020,69281574,3045,P001,747.93,TRUE,,45032667
1/7/2020,69293279,17693,P001,,FALSE,invalid_security_code,45037752
1/7/2020,69278847,16129,P001,20,TRUE,,45031383
1/7/2020,69266483,11382,P001,1292,TRUE,,44925306
1/7/2020,69240501,37768,P002,965.67,TRUE,,
1/7/2020,69249250,43624,P003,5380,TRUE,,
1/7/2020,69269010,37768,P002,770.4,TRUE,,
1/7/2020,69237569,37768,P002,208.91,TRUE,,
1/7/2020,69228977,37768,P002,1175.93,TRUE,,
1/7/2020,69270973,37769,P002,100,TRUE,,
1/7/2020,69210529,16129,P004,,FALSE,timeout,
1/7/2020,69307934,37768,P002,,FALSE,insufficient_fund,
1/7/2020,69291777,37768,P002,,FALSE,invalid_account,
1/7/2020,69267606,43626,P003,1465,TRUE,,
1/8/2020,69371775,61534,P001,118,TRUE,,29731940
1/8/2020,69423822,13846,P001,,FALSE,payment_rejected,45094404
1/8/2020,69326496,61534,P001,89,TRUE,,41951769
1/8/2020,69390981,17693,P001,,FALSE,invalid_security_code,45080309
1/8/2020,69403371,17420,P001,226.84,TRUE,,45085953
1/8/2020,69357573,17420,P001,1959.87,TRUE,,11794027
1/8/2020,69387542,13846,P001,,FALSE,invalid_security_code,45078460
1/8/2020,69423703,61534,P001,44,TRUE,,40996401
1/8/2020,69326472,13846,P001,996.93,TRUE,,45050555
1/8/2020,69380097,17420,P001,5636.33,TRUE,,39781413
1/8/2020,69371734,11382,P001,1824,TRUE,,45069761
1/8/2020,69361950,37768,P002,1237.99,TRUE,,
1/8/2020,69362160,37768,P002,854.93,TRUE,,
1/8/2020,69415409,616,P002,307,TRUE,,
1/8/2020,69377484,43626,P003,1650,TRUE,,
1/8/2020,69353799,43624,P003,665,TRUE,,
1/8/2020,69318189,13744,P004,,FALSE,timeout,
1/8/2020,69358189,43626,P003,13100,TRUE,,
1/8/2020,69341814,37768,P002,1923.86,TRUE,,
1/8/2020,69391058,37769,P002,50,TRUE,,
1/8/2020,69386908,43624,P003,10110,TRUE,,
1/9/2020,69472296,61534,P001,16,TRUE,,44235684
1/9/2020,69499384,37768,P001,730,TRUE,,45126815
1/9/2020,69451506,37768,P001,,FALSE,payment_rejected,45104186
1/9/2020,69516426,61534,P001,159.75,TRUE,,40402704
1/9/2020,69508318,37768,P001,,FALSE,,36932447
1/9/2020,69511437,9034,P001,927,TRUE,,41717577
1/9/2020,69468148,61534,P001,50,TRUE,,42465580
1/9/2020,69496110,3045,P001,320.46,TRUE,,45125333
1/9/2020,69462087,13846,P001,323.14,TRUE,,43679754
1/9/2020,69519426,61534,P001,43,TRUE,,34781163
